SYSTEM,WATERWAY,SITE,TRANSECT,SUB_TRANS,METRES,METRES,SPECIES,ORIGIN,COUNT,DATE,SURVEY,EXCLOSURE,Notes
Yarra,Yarra,Millgrove,10,B,1,1 to 2,Anthoxanthum odoratum,exotic,10_50,13/07/2018,1,0,
Yarra,Yarra,Millgrove,10,C,2,2 to 3,Anthoxanthum odoratum,exotic,100+,13/07/2018,1,0,
Yarra,Yarra,Millgrove,10,C,2,2 to 3,Dicot,Unknown,4,13/07/2018,1,0,
Yarra,Yarra,Millgrove,10,C,2,2 to 3,Eucalyptus camaldulensis subsp. camaldulensis,native,2,13/07/2018,1,0,Chris - this was entered as 'Euc' 
Yarra,Yarra,Millgrove,9,W,-1, -1 to 0,Nil,NA,0,13/07/2018,1,0,
Yarra,Yarra,Millgrove,9,A,0,0 to 1,Prunella vulgaris,exotic,10_50,13/07/2018,1,0,
Yarra,Yarra,Millgrove,9,A,0,0 to 1,Eucalyptus camaldulensis subsp. camaldulensis,native,5,13/07/2018,1,0,
Yarra,Yarra,Millgrove,9,A,0,0 to 1,Dicot,Unknown,8,13/07/2018,1,0,
Yarra,Yarra,Millgrove,9,A,0,0 to 1,Centaurium erythraea,exotic,3,13/07/2018,1,0,
Yarra,Yarra,Millgrove,9,A,0,0 to 1,Kunzea ericoides spp. agg.,native,2,13/07/2018,1,0,
Yarra,Yarra,Millgrove,9,A,0,0 to 1,Erigeron bonariensis,exotic,5,13/07/2018,1,0,
Yarra,Yarra,Millgrove,9,B,1,1 to 2,Prunella vulgaris,exotic,5,13/07/2018,1,0,
Yarra,Yarra,Millgrove,9,B,1,1 to 2,Euc/Pandorea,#N/A,2,13/07/2018,1,0,Check
Yarra,Yarra,Millgrove,9,B,1,1 to 2,Centaurium erythraea,exotic,4,13/07/2018,1,0,
Yarra,Yarra,Millgrove,9,C,2,2 to 3,Eucalyptus camaldulensis subsp. camaldulensis,native,1,13/07/2018,1,0,
Yarra,Yarra,Millgrove,9,C,2,2 to 3,Euc/Pandorea,#N/A,1,13/07/2018,1,0,Check
Yarra,Yarra,Millgrove,9,C,2,2 to 3,Pandorea pandorana,native,1,13/07/2018,1,0,
Yarra,Yarra,Millgrove,8,W,-1, -1 to 0,Prunella vulgaris,exotic,2,13/07/2018,1,0,
Yarra,Yarra,Millgrove,8,A,0,0 to 1,Acacia dealbata,native,1,13/07/2018,1,0,
Yarra,Yarra,Millgrove,8,A,0,0 to 1,Ehrharta erecta var. erecta,exotic,5,13/07/2018,1,0,
Yarra,Yarra,Millgrove,8,B,1,1 to 2,Ehrharta erecta var. erecta,exotic,10_50,13/07/2018,1,0,
Yarra,Yarra,Millgrove,7,W,-1, -1 to 0,Nil,NA,0,13/07/2018,1,0,
Yarra,Yarra,Millgrove,7,A,0,0 to 1,Ehrharta erecta var. erecta,exotic,10_50,13/07/2018,1,0,
Yarra,Yarra,Millgrove,7,A,0,0 to 1,Microlaena stipoides var. stipoides,native,10_50,13/07/2018,1,0,
Yarra,Yarra,Millgrove,7,A,0,0 to 1,Daucus spp.,Unknown,10_50,13/07/2018,1,0,not in species master
Yarra,Yarra,Millgrove,7,A,0,0 to 1,Euc/Pandorea,#N/A,5,13/07/2018,1,0,Check
Yarra,Yarra,Millgrove,7,B,1,1 to 2,Ehrharta erecta var. erecta,exotic,10_50,13/07/2018,1,0,
Yarra,Yarra,Millgrove,7,B,1,1 to 2,Daucus spp.,Unknown,10_50,13/07/2018,1,0,not in species master
Yarra,Yarra,Millgrove,7,C,2,2 to 3,Ehrharta erecta var. erecta,exotic,10_50,13/07/2018,1,0,
Yarra,Yarra,Millgrove,6,W,-1, -1 to 0,Nil,NA,0,13/07/2018,1,0,
Yarra,Yarra,Millgrove,6,A,0,0 to 1,Nil,NA,0,13/07/2018,1,0,
Yarra,Yarra,Millgrove,6,B,1,1 to 2,Nil,NA,0,13/07/2018,1,0,
Yarra,Yarra,Millgrove,6,C,2,2 to 3,Euc/Pandorea,#N/A,4,13/07/2018,1,0,Check
Yarra,Yarra,Millgrove,6,C,2,2 to 3,Ehrharta erecta var. erecta,exotic,10_50,13/07/2018,1,0,
Yarra,Yarra,Millgrove,5,W,-1, -1 to 0,Nil,NA,0,13/07/2018,1,0,
Yarra,Yarra,Millgrove,5,A,0,0 to 1,Dicot,Unknown,3,13/07/2018,1,0,
Yarra,Yarra,Millgrove,5,A,0,0 to 1,Isolepis inundata,native,10_50,13/07/2018,1,0,
Yarra,Yarra,Millgrove,5,B,1,1 to 2,Ehrharta erecta var. erecta,exotic,10_50,13/07/2018,1,0,
Yarra,Yarra,Millgrove,4,W,-1, -1 to 0,Nil,NA,0,13/07/2018,1,0,
Yarra,Yarra,Millgrove,4,A,0,0 to 1,Isolepis inundata,native,10_50,13/07/2018,1,0,
Yarra,Yarra,Millgrove,4,A,0,0 to 1,Lobelia anceps,native,10_50,13/07/2018,1,0,
Yarra,Yarra,Millgrove,4,A,0,0 to 1,Dichondra repens,native,1,13/07/2018,1,0,
Yarra,Yarra,Millgrove,4,A,0,0 to 1,Prunella vulgaris,exotic,6,13/07/2018,1,0,
Yarra,Yarra,Millgrove,4,B,1,1 to 2,Myrsine howittiana,native,5,13/07/2018,1,0,
Yarra,Yarra,Millgrove,4,C,2,2 to 3,Myrsine howittiana,native,6,13/07/2018,1,0,
