SYSTEM,WATERWAY,SITE,TRANSECT,METRES,SPECIES,HITS,HEIGHT,DATE,SURVEY,NOTES
Glenelg,Glenelg,Dergholm,5,2,unid grass - stoloniferous,8,0_1m,18/10/2022,6,stoloniferous
Glenelg,Glenelg,Dergholm,5,2,Lobelia anceps,9,0_1m,18/10/2022,6,
Glenelg,Glenelg,Dergholm,5,2,Isolepis spp.,4,0_1m,18/10/2022,6,
Glenelg,Glenelg,Dergholm,5,2,Poa labillardierei var. labillardierei,15,0_1m,18/10/2022,6,
Glenelg,Glenelg,Dergholm,5,2,Plantago lanceolata,5,0_1m,18/10/2022,6,
Glenelg,Glenelg,Dergholm,5,2,Rumex brownii,2,0_1m,18/10/2022,6,
Glenelg,Glenelg,Dergholm,5,2,Goodenia humilis,6,0_1m,18/10/2022,6,
Glenelg,Glenelg,Dergholm,5,2,Senecio glomeratus,3,0_1m,18/10/2022,6,
Glenelg,Glenelg,Dergholm,5,2,Crassula helmsii,3,0_1m,18/10/2022,6,
Glenelg,Glenelg,Dergholm,5,2,Alternanthera denticulata,1,0_1m,18/10/2022,6,
Glenelg,Glenelg,Dergholm,5,2,Paspalum distichum,1,0_1m,18/10/2022,6,
Glenelg,Glenelg,Dergholm,5,2,Euchiton involucratus s.l.,3,0_1m,18/10/2022,6,
Glenelg,Glenelg,Dergholm,5,2,Symphyotrichum subulatum,1,0_1m,18/10/2022,6,
Glenelg,Glenelg,Dergholm,5,3,Bare,4,0_1m,18/10/2022,6,
Glenelg,Glenelg,Dergholm,5,3,Litter,36,0_1m,18/10/2022,6,
Glenelg,Glenelg,Dergholm,5,3,Poa labillardierei var. labillardierei,33,0_1m,18/10/2022,6,
Glenelg,Glenelg,Dergholm,5,3,Plantago lanceolata,10,0_1m,18/10/2022,6,
Glenelg,Glenelg,Dergholm,5,3,Senecio glomeratus,2,0_1m,18/10/2022,6,
Glenelg,Glenelg,Dergholm,5,3,Alternanthera denticulata,1,0_1m,18/10/2022,6,
Glenelg,Glenelg,Dergholm,5,3,Lobelia anceps,4,0_1m,18/10/2022,6,
Glenelg,Glenelg,Dergholm,5,3,unid grass - stoloniferous,2,0_1m,18/10/2022,6,stoloniferous
Glenelg,Glenelg,Dergholm,5,3,Lolium spp.,4,0_1m,18/10/2022,6,
Glenelg,Glenelg,Dergholm,5,3,Rumex brownii,2,0_1m,18/10/2022,6,
Glenelg,Glenelg,Dergholm,5,3,Symphyotrichum subulatum,5,0_1m,18/10/2022,6,
Glenelg,Glenelg,Dergholm,5,3,Dactylis glomerata,1,0_1m,18/10/2022,6,
Glenelg,Glenelg,Dergholm,6,-1,Water,40,0_1m,18/10/2022,6,
Glenelg,Glenelg,Dergholm,6,-1,Cycnogeton procerum,30,0_1m,18/10/2022,6,
Glenelg,Glenelg,Dergholm,6,-1,Elodea canadensis,10,0_1m,18/10/2022,6,
Glenelg,Glenelg,Dergholm,6,-1,Crassula helmsii,25,0_1m,18/10/2022,6,
Glenelg,Glenelg,Dergholm,6,0,Water,40,0_1m,18/10/2022,6,
Glenelg,Glenelg,Dergholm,6,0,Elodea canadensis,1,0_1m,18/10/2022,6,
Glenelg,Glenelg,Dergholm,6,0,Cycnogeton procerum,32,0_1m,18/10/2022,6,
Glenelg,Glenelg,Dergholm,6,0,Crassula helmsii,20,0_1m,18/10/2022,6,"""?Agrostis stolon"""
Glenelg,Glenelg,Dergholm,6,0,Agrostis stolonifera,1,0_1m,18/10/2022,6,
Glenelg,Glenelg,Dergholm,6,0,Plantago major,1,0_1m,18/10/2022,6,
Glenelg,Glenelg,Dergholm,6,1,Bare,8,0_1m,18/10/2022,6,
Glenelg,Glenelg,Dergholm,6,1,Litter,12,0_1m,18/10/2022,6,
Glenelg,Glenelg,Dergholm,6,1,Water,20,0_1m,18/10/2022,6,
Glenelg,Glenelg,Dergholm,6,1,Agrostis stolonifera,19,0_1m,18/10/2022,6,
Glenelg,Glenelg,Dergholm,6,1,Poa labillardierei var. labillardierei,18,0_1m,18/10/2022,6,
Glenelg,Glenelg,Dergholm,6,1,Senecio biserratus,12,0_1m,18/10/2022,6,
Glenelg,Glenelg,Dergholm,6,1,Crassula helmsii,4,0_1m,18/10/2022,6,
Glenelg,Glenelg,Dergholm,6,1,Cycnogeton procerum,2,0_1m,18/10/2022,6,
Glenelg,Glenelg,Dergholm,6,1,Rumex brownii,6,0_1m,18/10/2022,6,
Glenelg,Glenelg,Dergholm,6,1,Plantago lanceolata,6,0_1m,18/10/2022,6,
Glenelg,Glenelg,Dergholm,6,1,Acaena novae-zelandiae,1,0_1m,18/10/2022,6,
Glenelg,Glenelg,Dergholm,6,1,Plantago major,1,0_1m,18/10/2022,6,
Glenelg,Glenelg,Dergholm,6,1,Aster subulatus,2,0_1m,18/10/2022,6,
Glenelg,Glenelg,Dergholm,6,1,Lobelia anceps,1,0_1m,18/10/2022,6,
Glenelg,Glenelg,Dergholm,6,2,Bare,15,0_1m,18/10/2022,6,
Glenelg,Glenelg,Dergholm,6,2,Litter,25,0_1m,18/10/2022,6,
Glenelg,Glenelg,Dergholm,6,2,Rosa rubiginosa,13,0_1m,18/10/2022,6,
Glenelg,Glenelg,Dergholm,6,2,Poa labillardierei var. labillardierei,33,0_1m,18/10/2022,6,
Glenelg,Glenelg,Dergholm,6,2,Acaena novae-zelandiae,5,0_1m,18/10/2022,6,
Glenelg,Glenelg,Dergholm,6,2,Agrostis stolonifera,6,0_1m,18/10/2022,6,"""?agrost stolon"""
Glenelg,Glenelg,Dergholm,6,2,Rumex brownii,5,0_1m,18/10/2022,6,
Glenelg,Glenelg,Dergholm,6,2,Senecio biserratus,7,0_1m,18/10/2022,6,
Glenelg,Glenelg,Dergholm,6,2,Bromus diandrus,1,0_1m,18/10/2022,6,
Glenelg,Glenelg,Dergholm,6,2,Aster subulatus,2,0_1m,18/10/2022,6,
Glenelg,Glenelg,Dergholm,6,2,Plantago lanceolata,6,0_1m,18/10/2022,6,
Glenelg,Glenelg,Dergholm,6,2,Phalaris aquatica,1,0_1m,18/10/2022,6,
Glenelg,Glenelg,Dergholm,6,3,Bare,5,0_1m,18/10/2022,6,
Glenelg,Glenelg,Dergholm,6,3,Litter,35,0_1m,18/10/2022,6,
Glenelg,Glenelg,Dergholm,6,3,Rosa rubiginosa,22,0_1m,18/10/2022,6,
Glenelg,Glenelg,Dergholm,6,3,Poa labillardierei var. labillardierei,18,0_1m,18/10/2022,6,
Glenelg,Glenelg,Dergholm,6,3,Acaena novae-zelandiae,12,0_1m,18/10/2022,6,
Glenelg,Glenelg,Dergholm,6,3,Carex appressa,9,0_1m,18/10/2022,6,
Glenelg,Glenelg,Dergholm,6,3,Plantago lanceolata,9,0_1m,18/10/2022,6,
Glenelg,Glenelg,Dergholm,6,3,Hypochaeris radicata,1,0_1m,18/10/2022,6,
Glenelg,Glenelg,Dergholm,6,3,Eryngium vesiculosum,2,0_1m,18/10/2022,6,
Glenelg,Glenelg,Dergholm,6,3,Rumex brownii,1,0_1m,18/10/2022,6,
Glenelg,Glenelg,Dergholm,6,3,Ranunculus muricatus,1,0_1m,18/10/2022,6,
Glenelg,Glenelg,Dergholm,6,3,Phalaris aquatica,6,0_1m,18/10/2022,6,
Glenelg,Glenelg,Dergholm,6,3,Bromus catharticus,2,0_1m,18/10/2022,6,
Glenelg,Glenelg,Dergholm,6,3,Crassula helmsii,1,0_1m,18/10/2022,6,
Glenelg,Glenelg,Dergholm,6,3,Gladiolus spp.,1,0_1m,18/10/2022,6,
Glenelg,Glenelg,Dergholm,6,3,Oxalis perennans,2,0_1m,18/10/2022,6,
Glenelg,Glenelg,Dergholm,6,3,Leontodon spp.,1,0_1m,18/10/2022,6,
Glenelg,Glenelg,Dergholm,7,-1,Water,40,0_1m,18/10/2022,6,
Glenelg,Glenelg,Dergholm,7,-1,Phragmites australis,14,0_1m,18/10/2022,6,
