SYSTEM,WATERWAY,SITE,TRANSECT,METRES,SPECIES,HITS,HEIGHT,DATE,SURVEY,NOTES,SITE_NOTES
Moorabool,Moorabool,Bostock,7,1,Lomandra longifolia,13,0_1m,26/04/2023,6,NA,NA
Moorabool,Moorabool,Bostock,7,1,Acaena novae-zelandiae,1,0_1m,26/04/2023,6,NA,NA
Moorabool,Moorabool,Bostock,7,1,Litter,25,0_1m,26/04/2023,6,NA,NA
Moorabool,Moorabool,Bostock,7,1,Holcus spp.,3,0_1m,26/04/2023,6,NA,NA
Moorabool,Moorabool,Bostock,7,1,Bare,15,0_1m,26/04/2023,6,NA,NA
Moorabool,Moorabool,Bostock,7,1,Microlaena stipoides var. stipoides,6,0_1m,26/04/2023,6,"just wrote ""microlaena"", presumably this species as it's the only one in the master list",NA
Moorabool,Moorabool,Bostock,7,1,Anthoxanthum,1,0_1m,26/04/2023,6,"(Didn't specify, presumably Anthoxanthum odoratum based on other records this survey at this site)",NA
Moorabool,Moorabool,Bostock,7,1,Senecio glomeratus,1,0_1m,26/04/2023,6,NA,NA
Moorabool,Moorabool,Bostock,7,2,Bare,30,0_1m,26/04/2023,6,NA,NA
Moorabool,Moorabool,Bostock,7,2,Poa labillardierei var. labillardierei,32,0_1m,26/04/2023,6,NA,NA
Moorabool,Moorabool,Bostock,7,2,Litter,10,0_1m,26/04/2023,6,NA,NA
Moorabool,Moorabool,Bostock,7,2,Pteridium esculentum,5,0_1m,26/04/2023,6,NA,NA
Moorabool,Moorabool,Bostock,7,2,Anthoxanthum,10,0_1m,26/04/2023,6,"(Didn't specify, presumably Anthoxanthum odoratum based on other records this survey at this site)",NA
Moorabool,Moorabool,Bostock,7,2,Hypochaeris radicata,3,0_1m,26/04/2023,6,NA,NA
Moorabool,Moorabool,Bostock,7,2,Lomandra longifolia,8,0_1m,26/04/2023,6,NA,NA
Moorabool,Moorabool,Bostock,9,-1,Nasturtium officinale,35,0_1m,26/04/2023,6,NA,NA
Moorabool,Moorabool,Bostock,9,-1,Water,12,0_1m,26/04/2023,6,NA,NA
Moorabool,Moorabool,Bostock,9,-1,Litter,8,0_1m,26/04/2023,6,NA,NA
Moorabool,Moorabool,Bostock,9,-1,Rock,5,0_1m,26/04/2023,6,NA,NA
Moorabool,Moorabool,Bostock,9,-1,Cycnogeton procerum,1,0_1m,26/04/2023,6,"just wrote ""cycno"", presumably this species as it's the only one in the master list",NA
Moorabool,Moorabool,Bostock,9,-1,Lachnagrostis filiformis s.l.,2,0_1m,26/04/2023,6,NA,NA
Moorabool,Moorabool,Bostock,9,-1,Crassula helmsii,1,0_1m,26/04/2023,6,NA,NA
Moorabool,Moorabool,Bostock,9,-1,Bare,15,0_1m,26/04/2023,6,NA,NA
Moorabool,Moorabool,Bostock,9,0,Senecio glomeratus,1,0_1m,26/04/2023,6,NA,NA
Moorabool,Moorabool,Bostock,9,0,Nasturtium officinale,16,0_1m,26/04/2023,6,NA,NA
Moorabool,Moorabool,Bostock,9,0,Lachnagrostis filiformis s.l.,10,0_1m,26/04/2023,6,NA,NA
Moorabool,Moorabool,Bostock,9,0,Holcus spp.,12,0_1m,26/04/2023,6,NA,NA
Moorabool,Moorabool,Bostock,9,0,Acaena novae-zelandiae,1,0_1m,26/04/2023,6,NA,NA
Moorabool,Moorabool,Bostock,9,0,Hypochaeris radicata,1,0_1m,26/04/2023,6,NA,NA
Moorabool,Moorabool,Bostock,9,0,Litter,36,0_1m,26/04/2023,6,NA,NA
Moorabool,Moorabool,Bostock,9,0,Poa,8,0_1m,26/04/2023,6,"(Didn't specify, presumably Poa labillardierei var. labillardierei based on other records this survey at this site)",NA
Moorabool,Moorabool,Bostock,9,0,Log,2,0_1m,26/04/2023,6,NA,NA
Moorabool,Moorabool,Bostock,9,0,Bare,1,0_1m,26/04/2023,6,NA,NA
Moorabool,Moorabool,Bostock,9,0,Rock,1,0_1m,26/04/2023,6,NA,NA
Moorabool,Moorabool,Bostock,9,1,Poa labillardierei var. labillardierei,40,0_1m,26/04/2023,6,NA,NA
Moorabool,Moorabool,Bostock,9,1,Senecio glomeratus,1,0_1m,26/04/2023,6,NA,NA
Moorabool,Moorabool,Bostock,9,1,Holcus spp.,3,0_1m,26/04/2023,6,NA,NA
Moorabool,Moorabool,Bostock,9,1,Acaena novae-zelandiae,5,0_1m,26/04/2023,6,NA,NA
Moorabool,Moorabool,Bostock,9,1,Microlaena stipoides var. stipoides,1,0_1m,26/04/2023,6,NA,NA
Moorabool,Moorabool,Bostock,9,1,Holcus spp.,1,0_1m,26/04/2023,6,NA,NA
Moorabool,Moorabool,Bostock,9,1,Pteridium esculentum,1,0_1m,26/04/2023,6,NA,NA
Moorabool,Moorabool,Bostock,9,1,Rubus anglocandicans,2,0_1m,26/04/2023,6,NA,NA
Moorabool,Moorabool,Bostock,9,1,Litter,40,0_1m,26/04/2023,6,NA,NA
Moorabool,Moorabool,Bostock,9,1,Hypochaeris radicata,1,0_1m,26/04/2023,6,NA,NA
Moorabool,Moorabool,Bostock,9,2,Poa labillardierei var. labillardierei,36,0_1m,26/04/2023,6,NA,NA
Moorabool,Moorabool,Bostock,9,2,Rubus anglocandicans,8,0_1m,26/04/2023,6,NA,NA
Moorabool,Moorabool,Bostock,9,2,Pteridium esculentum,7,0_1m,26/04/2023,6,NA,NA
Moorabool,Moorabool,Bostock,9,2,Litter,9,0_1m,26/04/2023,6,NA,NA
Moorabool,Moorabool,Bostock,9,2,Senecio glomeratus,5,0_1m,26/04/2023,6,NA,NA
Moorabool,Moorabool,Bostock,9,2,Lomandra longifolia,1,0_1m,26/04/2023,6,NA,NA
Moorabool,Moorabool,Bostock,9,2,Acaena,2,0_1m,26/04/2023,6,"(Didn't specify, presumably acaena novae-zelandiae based on other records this survey at this site)",NA
Moorabool,Moorabool,Bostock,9,2,Microlaena stipoides var. stipoides,1,0_1m,26/04/2023,6,"just wrote ""microlaena"", presumably this species as it's the only one in the master list",NA
Moorabool,Moorabool,Bostock,9,2,Holcus spp.,1,0_1m,26/04/2023,6,NA,NA
Moorabool,Moorabool,Bostock,9,2,Bare ground,31,0_1m,26/04/2023,6,"No number of hits given, presumably 31 based on litter count (no other ground covers)",NA
Moorabool,Moorabool,Bostock,10,-1,Water,40,0_1m,26/04/2023,6,NA,NA
Moorabool,Moorabool,Bostock,10,-1,Typha domingensis,30,0_1m,26/04/2023,6,NA,NA
Moorabool,Moorabool,Bostock,10,-1,Carex appressa,5,0_1m,26/04/2023,6,NA,NA
Moorabool,Moorabool,Bostock,10,-1,Nasturtium,1,0_1m,26/04/2023,6,"(Didn't specify, presumably Nasturtium officinale based on other records this survey at this site)",NA
