SPECIES,GENUS,FAMILY,ORIGIN,LIFEFORM,CLASSIFICATION,INSTREAMVEG?,WPFG,WPFGSOURCE,GROUP,REC_GRP
Deyeuxia quadriseta,Deyeuxia,Poaceae,native,grass,Fringing_high,NO,Ate,KM,Littoral margin,Riparian
Dianella porracea,Dianella,Asphodelaceae,native,forb,Fringing_high,NO,NA,NA,Littoral margin,Terrestrial
Dianella tarda,Dianella,Asphodelaceae,native,forb,Fringing_high,NO,NA,NA,Littoral margin,Terrestrial
Dichanthium sericeum subsp. sericeum,Dichanthium,Poaceae,native,grass,Terrestrial,NO,Tdr,assumed,Terrestrial,Terrestrial
Dichelachne crinita,Dichelachne,Poaceae,native,grass,Terrestrial,NO,Tda,KM,Terrestrial,Terrestrial
Dichondra repens,Dichondra,Convolvulaceae,native,forb,Terrestrial,NO,Tdr,KM,Terrestrial,Terrestrial
Dicot,unknown,unknown,unknown,unknown,NA,NO,NA,NA,Unknown,Unknown
Dillwynia spp.,Dillwynia,Fabaceae,native,shrub,Shrub,NO,NA,NA,Shrub,Terrestrial
Dipsacus fullonum,Dipsacus,Dipsacaceae,exotic,forb,NA,NO,NA,NA,Littoral margin,Riparian
Distichlis distichophylla,Distichlis,Poaceae,native,grass,Fringing_low,NO,Tda,KM,Littoral,Terrestrial
Dittrichia graveolens,Dittrichia,Asteraceae,exotic,shrub,Shrub,NO,Tdr,KM,Shrub,Terrestrial
Dodonaea viscosa,Dodonaea,Sapindaceae,native,shrub,Shrub,NO,Tdr,KM,Shrub,Terrestrial
Drosera spp.,Drosera,Droseraceae,native,forb,Terrestrial,NO,NA,NA,Terrestrial,Terrestrial
Dysphania pumilio,Dysphania,Chenopodiaceae,native,forb,Terrestrial,NO,Tdr,KM,Terrestrial,Terrestrial
Echinopogon ovatus,Echinopogon,Poaceae,native,grass,NA,NO,Tda,KM,Terrestrial,Terrestrial
Echium plantagineum,Echium,Boraginaceae,exotic,forb,Terrestrial,NO,Tdr,NA,Terrestrial,Terrestrial
Eclipta platyglossa,Eclipta,Asteraceae,native,forb,NA,NO,Tda,KM,Littoral margin,Terrestrial
Ehrharta calycina,Ehrharta,Poaceae,exotic,grass,Terrestrial,NO,Tdr,KM,Terrestrial,Terrestrial
Ehrharta erecta var. erecta,Ehrharta,Poaceae,exotic,grass,Terrestrial,NO,NA,NA,Terrestrial,Terrestrial
Ehrharta longiflora,Ehrharta,Poaceae,exotic,grass,Terrestrial,NO,Tda,KM,Terrestrial,Terrestrial
Ehrharta spp.,Ehrharta,Poaceae,exotic,grass,Terrestrial,NO,NA,NA,Terrestrial,Terrestrial
Einadia nutans subsp. nutans,Einadia,Chenopodiaceae,native,forb,Terrestrial,NO,Tdr,KM,Terrestrial,Terrestrial
Elatine gratioloides,Elatine,Elatinaceae,native,forb,Fringing_low,NO,ARp,Casanova 2011 / Campbell 2014,Littoral,Riparian
Eleocharis acuta,Eleocharis,Cyperaceae,native,sedge/rush,Emergent,YES,Ate,KM,Emergent,Emergent
Eleocharis pusilla,Eleocharis,Cyperaceae,native,sedge/rush,Emergent,YES,ATe,Campbell 2014,Emergent,Emergent
Eleocharis sphacelata,Eleocharis,Cyperaceae,native,sedge/rush,Emergent,YES,ATe,KM,Emergent,Emergent
Elodea canadensis,Elodea,Hydrocharitaceae,exotic,forb,Aquatic,YES,Sk,KM,Aquatic,Aquatic
Enteropogon acicularis,Enteropogon,Poaceae,native,grass,Terrestrial,NO,Tdr,KM,Terrestrial,Terrestrial
Epilobium billardierianum subsp. billardierianum,Epilobium,Onagraceae,native,forb,Fringing_low,NO,NA,NA,Littoral,Terrestrial
Epilobium hirtigerum,Epilobium,Onagraceae,native,forb,Fringing_low,NO,NA,NA,Littoral,Terrestrial
Epilobium spp.,Epilobium,Onagraceae,native,forb,Fringing_low,NO,NA,NA,Littoral,Terrestrial
Eragrostis brownii,Eragrostis,Poaceae,native,grass,Terrestrial,NO,Tdr,KM,Terrestrial,Terrestrial
Eragrostis spp.,Eragrostis,Poaceae,native,grass,Terrestrial,NO,NA,NA,Terrestrial,Terrestrial
Eragrostis infecunda,Eragrostis,Poaceae,native,grass,Emergent,NO,Ate,KM,Littoral,Riparian
Erigeron bonariensis,Erigeron,Asteraceae,exotic,forb,Terrestrial,NO,NA,NA,Terrestrial,Terrestrial
Erodium moschatum,Erodium,Geraniaceae,exotic,forb,Terrestrial,NO,NA,NA,Terrestrial,Terrestrial
Erodium spp.,Erodium,Geraniaceae,exotic,forb,Terrestrial,NO,NA,NA,Terrestrial,Terrestrial
Eryngium ovinum,Eryngium,Apiaceae,native,forb,Terrestrial,NO,NA,NA,Terrestrial,Terrestrial
Eucalyptus camaldulensis subsp. camaldulensis,Eucalyptus,Myrtaceae,native,tree,Tree,NO,ATw,Casanova 2011,Tree,Riparian
Eucalyptus leucoxylon,Eucalyptus,Myrtaceae,native,tree,Tree,NO,Tdr,KM,Tree,Terrestrial
Eucalyptus polyanthemos,Eucalyptus,Myrtaceae,native,tree,Tree,NO,NA,NA,Tree,Terrestrial
Eucalyptus spp.,Eucalyptus,Myrtaceae,native,tree,Tree,NO,NA,NA,Tree,Terrestrial
Eucalyptus viminalis,Eucalyptus,Myrtaceae,native,tree,Tree,NO,Tdr,KM,Tree,Terrestrial
Euchiton involucratus s.l.,Euchiton,Asteraceae,native,forb,Fringing_low,NO,Tda,KM,Littoral,Terrestrial
Euchiton japonicus,Euchiton,Asteraceae,native,forb,Fringing_high,NO,Tda,KM,Littoral,Terrestrial
Euchiton sphaericus,Euchiton,Asteraceae,native,forb,Fringing_low,NO,Tdr,KM,Littoral,Terrestrial
Euchiton spp.,Euchiton,Asteraceae,native,forb,Fringing_low,NO,NA,NA,Littoral,Terrestrial
Euphorbia dallachyana,Euphorbia,Euphorbiaceae,native,forb,Terrestrial,NO,NA,NA,Terrestrial,Terrestrial
Euphorbia lathyris,Euphorbia,Euphorbiaceae,exotic,forb,Terrestrial,NO,Tdr,assumed,Terrestrial,Terrestrial
Euphorbia peplus,Euphorbia,Euphorbiaceae,exotic,forb,Terrestrial,NO,Tdr,assumed,Terrestrial,Terrestrial
Euphorbia spp.,Euphorbia,Euphorbiaceae,unknown,forb,NA,NO,NA,NA,Terrestrial,Terrestrial
Exocarpos strictus,Exocarpos,Santalaceae,native,shrub,Shrub,NO,Tdr,KM,Shrub,Terrestrial
Ficinia nodosa,Ficinia,Cyperaceae,native,sedge/rush,Emergent,YES,ATe,KM,Littoral,Riparian
Fraxinus spp.,Fraxinus,Oleaceae,exotic,tree,Tree,NO,NA,NA,Tree,Terrestrial
Freesia spp.,Freesia,Iridaceae,exotic,forb,Terrestrial,NO,NA,NA,Terrestrial,Terrestrial
Fumaria muralis subsp. muralis,Fumaria,Papaveraceae,exotic,forb,Terrestrial,NO,NA,NA,Terrestrial,Terrestrial
Fumaria spp.,Fumaria,Papaveraceae,exotic,forb,Terrestrial,NO,NA,NA,Terrestrial,Terrestrial
Gahnia sieberiana,Gahnia,Cyperaceae,native,sedge/rush,Fringing_high,NO,Ate,KM,Littoral margin,Riparian
Galenia pubescens,Galenia,Aizoaceae,exotic,forb,Terrestrial,NO,Tdr,KM,Terrestrial,Terrestrial
Galium aparine,Galium,Rubiaceae,exotic,forb,Terrestrial,NO,Tdr,KM,Terrestrial,Terrestrial
Galium murale,Galium,Rubiaceae,exotic,forb,Terrestrial,NO,Tdr,KM,Terrestrial,Terrestrial
Geranium dissectum,Geranium,Geraniaceae,exotic,forb,Terrestrial,NO,NA,NA,Terrestrial,Terrestrial
Geranium molle,Geranium,Geraniaceae,exotic,forb,Terrestrial,NO,Tdr,KM,Terrestrial,Terrestrial
Geranium spp.,Geranium,Geraniaceae,exotic,forb,Terrestrial,NO,NA,NA,Terrestrial,Terrestrial
Geranium sp. 2,Geranium,Geraniaceae,native,forb,Terrestrial,NO,NA,NA,Terrestrial,Terrestrial
Gladiolus spp.,Gladiolus,Iridaceae,exotic,forb,Terrestrial,NO,Tdr,assumed,Terrestrial,Terrestrial
Gladiolus undulatus,Gladiolus,Iridaceae,exotic,forb,Terrestrial,NO,Tdr,KM,Terrestrial,Terrestrial
Glossostigma elatinoides,Glossostigma,Phrymaceae,native,forb,Fringing_low,NO,ATe,NA,Littoral,Riparian
Glyceria australis,Glyceria,Poaceae,native,grass,Emergent,YES,ATe,Brock and Casanova 1997,Littoral,Riparian
Glyceria maxima,Glyceria,Poaceae,exotic,grass,Emergent,YES,Tda or ATe?,CHECK,Littoral,Riparian
Glyceria spp.,Glyceria,Poaceae,unknown,grass,Emergent,YES,NA,NA,Littoral,Riparian
Glycine spp.,Glycine,Fabaceae,native,forb,Terrestrial,NO,NA,NA,Terrestrial,Terrestrial
Glycine tabacina,Glycine,Fabaceae,native,climber,Terrestrial,NO,NA,NA,Terrestrial,Terrestrial
Gonocarpus tetragynus,Gonocarpus,Haloragaceae,native,forb,Terrestrial,NO,Tdr,KM,Terrestrial,Terrestrial
Goodenia elongata,Goodenia,Goodeniaceae,native,forb,Fringing_low,NO,Tda,Vicflora - damp situations in hill country of the east (except isolated westerly occurrences),Littoral,Terrestrial
Goodenia heterophylla,Goodenia,Goodeniaceae,native,forb,Fringing_low,NO,Tda,Vicflora - damp situations in hill country of the east (except isolated westerly occurrences),Littoral,Terrestrial
Goodenia humilis,Goodenia,Goodeniaceae,native,forb,Fringing_low,NO,Tda,KM,Littoral,Terrestrial
Goodenia ovata,Goodenia,Goodeniaceae,native,shrub,Shrub,NO,Tda,KM,Shrub,Terrestrial
Gratiola peruviana,Gratiola,Plantaginaceae,native,forb,Aquatic,YES,ATe,KM,Aquatic,Aquatic
Gratiola pumilo,Gratiola,Plantaginaceae,native,forb,Aquatic,YES,Tda,KM,Aquatic,Aquatic
